原始单号,物流公司,物流单号,,
LP230524-542575236662298,韵达快递,433323025708287,,
LP821710974763598,韵达快递,433323023408316,,
LP821710974763598,韵达快递,433323023408412,,
LP821710974763598,韵达快递,433323028005050,,
LP821206824819838,韵达快递,433323028005143,,
LP230524-467581060571052,韵达快递,433323026460234,,
LP821710865581773,韵达快递,433323026460146,,
LP821710865581773,韵达快递,433323027238684,,
LP821710865581773,韵达快递,433323027238588,,
LP821197928985296,韵达快递,433323022616320,,
LP230524-618014995223300,韵达快递,433323022616226,,
LP821711381663643,韵达快递,433323026460410,,
LP821711381663643,韵达快递,433323026460322,,
LP821711381663643,韵达快递,433323025708575,,
LP821197951904998,韵达快递,433323025708479,,
LP230524-649068563222563,韵达快递,433323026460598,,
LP821712149696464,韵达快递,433323026460686,,
LP821712149696464,韵达快递,433323021043199,,
LP821712149696464,韵达快递,433323021043008,,
LP821197889513651,韵达快递,433323015115074,,
LP230525-168768336671941,韵达快递,433323015115167,,
LP821712460120692,韵达快递,433323018801159,,
LP821712460120692,韵达快递,433323018801248,,
LP821712460120692,韵达快递,433323021838684,,
LP821207201237460,韵达快递,433323021838588,,
LP230526-670061054841505,韵达快递,433323019601974,,
LP821712777940907,韵达快递,433322996157079,,
LP821712777940907,韵达快递,433322984704366,,
LP821712777940907,韵达快递,433322993082094,,
LP821198599578680,韵达快递,433322992321855,,
LP230526-011665417111128,韵达快递,433323019601885,,
LP821712840884766,韵达快递,433322993873902,,
LP821781395196277,韵达快递,433322993873811,,
LP821772938163096,韵达快递,433322996937063,,
LP821772938163096,韵达快递,433322996936730,,
LP821772908231637,韵达快递,433322983956248,,
LP821772908231637,韵达快递,433322984704090,,
LP821772908231637,韵达快递,433322989287535,,
LP821772908231637,韵达快递,433322988494538,,
LP821772908231637,韵达快递,433322995375362,,
LP821772908231637,韵达快递,433322993873629,,
LP821772908231637,韵达快递,433322984703921,,
LP821772908231637,韵达快递,433322992321310,,
LP821772908231637,韵达快递,433322993873720,,
LP821772908231637,韵达快递,433322993872358,,
LP821782105474255,韵达快递,433322989286722,,
LP821773596324032,韵达快递,433322992321221,,
LP821784323690678,韵达快递,433322983954442,,
LP821784323690678,韵达快递,433322996155837,,
LP821784323690678,韵达快递,433322983956342,,
LP821785005474575,韵达快递,433322989286816,,
LP821785005474575,韵达快递,433322993081365,,
LP821785005474575,韵达快递,433322983954626,,
LP821776081675835,韵达快递,433322994645641,,
LP821776375409830,韵达快递,433322984702744,,
LP821776375409830,韵达快递,433322984702654,,
LP821776375409830,韵达快递,433322993081721,,
LP821786189498060,韵达快递,433322988493900,,
LP821785688249417,韵达快递,433322989286440,,
LP821785688249417,韵达快递,433322993872268,,
LP821785688249417,韵达快递,433322992320681,,
LP821785688249417,韵达快递,433322988493809,,
LP821785688249417,韵达快递,433322989286252,,
LP821785688249417,韵达快递,433322991515366,,
LP821785688249417,韵达快递,433322996935918,,
LP821785688249417,韵达快递,433322994645362,,
LP821785688249417,韵达快递,433322988492264,,
LP821785688249417,韵达快递,433322993081187,,
LP821785313134325,韵达快递,433322989286064,,
LP821785313134325,韵达快递,433322993081276,,
LP821785313134325,韵达快递,433322990748711,,
LP821785313134325,韵达快递,433322989286158,,
LP821785313134325,韵达快递,433322996935732,,
LP821785313134325,韵达快递,433322985478162,,
LP821785313134325,韵达快递,433322989285812,,
LP821785313134325,韵达快递,433322984702564,,
LP821785313134325,韵达快递,433322983953809,,
LP821785313134325,韵达快递,433322988491621,,
LP821785457427286,韵达快递,433322992320317,,
LP821785457427286,韵达快递,433322996154652,,
LP821785457427286,韵达快递,433322995374548,,
LP821785457427286,韵达快递,433322992320141,,
LP821785457427286,韵达快递,433322989285533,,
LP821785457427286,韵达快递,433322983953718,,
LP821785457427286,韵达快递,433322985477926,,
LP821785457427286,韵达快递,433322989285161,,
LP821785457427286,韵达快递,433322996154284,,
LP821785457427286,韵达快递,433322990748615,,
LP821776398279198,韵达快递,433322997614474,,
LP821776398279198,韵达快递,433322993080806,,
LP821776398279198,韵达快递,433322997614382,,
LP821776427658311,韵达快递,433322985477546,,
LP821785104735390,韵达快递,433322992319451,,
LP821785161485379,韵达快递,433322994644275,,
LP821785161485379,韵达快递,433322990748423,,
LP821785161485379,韵达快递,433322989284716,,
LP821775610407076,韵达快递,433322995374456,,
LP821775043471828,韵达快递,433322986266548,,
LP821783781234542,韵达快递,433322992319257,,
LPPO-230704-310032475151919,韵达快递,433322983953354,,
LP230704-164629114540286,韵达快递,433322997613845,,
LP230704-310090177461920,韵达快递,433322997612758,,
LP230704-036091994943876,韵达快递,433322993870626,,
LPPO-028770-230704-644549200802647,韵达快递,433322989284256,,
LPPO-010090-230704-516465673660649,韵达快递,433322992319160,,
LPPO-019511-230704-516465673660649,韵达快递,433322993870098,,
LPPO-230704-686995567391048,韵达快递,433322988491176,,
LP230704-473290525462660,韵达快递,433322991513746,,
LPPO-230705-529677689764003,韵达快递,433322996152384,,
LP230704-049382706002402,韵达快递,433322989284164,,
LP230704-407343021602386,韵达快递,433322991513473,,
LPPO-230704-320887878701755,韵达快递,433322995373184,,
LPPO-230704-683233832490504,韵达快递,433322988490706,,
LPPO-230705-119107808660076,韵达快递,433322996933827,,
LPPO-230705-584921926680580,韵达快递,433322994642647,,
LP230705-091656099211450,韵达快递,433322991512840,,
LP230705-203276972940392,韵达快递,433322988490618,,
LP230705-663381657223834,韵达快递,433322993080190,,
LP230704-423430736650522,韵达快递,433322992317845,,
LPPO-230704-672858151972861,韵达快递,433322993869630,,
LPPO-230704-017681683992868,韵达快递,433322996152014,,
LPPO-230704-514756463450616,韵达快递,433322989283995,,
LPPO-230704-072425225711420,韵达快递,433322991512750,,
LPPO-230704-100317316653177,韵达快递,433322989283804,,
LPPO-230704-327963197052882,韵达快递,433322985475453,,
LP230704-396865115753783,韵达快递,433322990745621,,
LPPO-230704-494393179590070,韵达快递,433322983952628,,
LP230704-157821213682898,韵达快递,433322985475267,,
LP230704-187265227751904,韵达快递,433322989283531,,
LPPO-230704-576617225180109,韵达快递,433322983952538,,
LP230704-523810927501775,韵达快递,433322997612118,,
LP230704-104768500571891,韵达快递,433322985474914,,
LP230704-495522968563192,韵达快递,433322993079554,,
LPPO-230705-056969184890277,韵达快递,433322993869533,,
LP230705-362733935510755,韵达快递,433322988490442,,
LP230704-656613067742087,韵达快递,433322983952268,,
LP230704-088460522340205,韵达快递,433322983952358,,
LP230704-558012865581205,韵达快递,433322994641916,,
LP230704-234162768703773,韵达快递,433322993079457,,
LP230704-679941303800995,韵达快递,433322990745342,,
LP230705-515532420053267,韵达快递,433322990745249,,
LP230705-680882348861433,韵达快递,433322993869436,,
LP230704-025902499452707,韵达快递,433322986264366,,
LP230705-290020402111713,韵达快递,433322996151744,,
LP230705-559079781152436,韵达快递,433322996151566,,
LPPO-021190-230704-181335530400320,韵达快递,433322995371003,,
LP230704-313859787653711,韵达快递,433322996151655,,
LP230704-268404049280295,韵达快递,433322996151477,,
LP230704-336734493570528,韵达快递,433322983951807,,
LP230704-418814391340839,韵达快递,433322995370900,,
LP230704-418814412282889,韵达快递,433322984701749,,
LP230704-663323995823329,韵达快递,433322983951451,,
LP230704-033871697430059,韵达快递,433322986263642,,
LP230704-170983453631120,韵达快递,433322984701660,,
LP230704-156209028090212,韵达快递,433322983951718,,
LP230704-545920183993820,韵达快递,433322985474546,,
LP230704-001237359661611,韵达快递,433322994641560,,
LP230704-198170449304044,韵达快递,433322992317180,,
LPPO-025361-230704-439458262651815,韵达快递,433322985474362,,
LP230705-440176547402819,韵达快递,433322988490354,,
LP230704-150963547553557,韵达快递,433322992317085,,
LP230705-184528444451900,韵达快递,433322997611762,,
LP230704-565649089501222,韵达快递,433322985474270,,
LP230704-614636011152194,韵达快递,433322995370724,,
LP230704-146090269562311,韵达快递,433322993078746,,
LP230704-665751417600332,韵达快递,433322995370636,,
LPPO-020104-230704-638126704312981,韵达快递,433322985474178,,
LP230704-067302911370346,韵达快递,433322993868342,,
LP13858162837,韵达快递,433322993868438,,
LPW230704162321989231963875873,韵达快递,433322984701393,,
LP821771749023758,韵达快递,433322996932198,,
LP821771799247862,韵达快递,433322983951362,,
LP821780862094334,韵达快递,433322993078650,,
LP821780988711136,韵达快递,433322996151110,,
LP821772067565508,韵达快递,433322989282620,,
LP821772130694404,韵达快递,433322991511487,,
LP821772627699574,韵达快递,433322994640915,,
LP821781395196277,韵达快递,433322992316566,,
LP821772938163096,韵达快递,433322991511665,,
LP821772908231637,韵达快递,433322986263369,,
LP821773095235341,韵达快递,433322984701204,,
LP821782105474255,韵达快递,433322988490266,,
LP821773596324032,韵达快递,433322988490090,,
LP821782412760194,韵达快递,433322997611217,,
LP821782760539617,韵达快递,433322993867535,,
LP821784323690678,韵达快递,433322996931918,,
LP821775536843048,韵达快递,433322996151021,,
LP821785005474575,韵达快递,433322984700930,,
LP821776129993577,韵达快递,433322993078170,,
LP821776081675835,韵达快递,433322996150920,,
LP821785601646142,韵达快递,433322996150832,,
LP821776375409830,韵达快递,433322988488930,,
LP821777006114237,韵达快递,433322983950190,,
LP821786018318754,韵达快递,433322984700754,,
LP821786234293974,韵达快递,433322994640651,,
LP821786189498060,韵达快递,433322994640475,,
LP821786408747894,韵达快递,433322996931829,,
LP821777347557266,韵达快递,433322990743352,,
LP821786226378312,韵达快递,433322995370196,,
LP821777267668249,韵达快递,433322984700842,,
